person,position,year
Ashley Osborne, Research fellow/PhD Student, 2019-2023
Emilia Manko, Research Assistant, 2018-2023
Amy Ibrahim, Research fellow/PhD Student, 2019-2023
Anton Spadar, Research fellow/PhD Student, 2019-2023
Anna Turkiewicz, Research Assistant, 2018-2023
Gary Napier,BBSRC LiDO studentship, 2019-2022
Julian Libiseller-Egger, Research Assistant,2019-2022
Catherine Ludden, Research Fellow, 2019-2022
Neneh Sallah , Research Fellow,2019
Darren Scott,PhD Student,2018-2021
Tanushree Tunstall ,BBSRC LiDO PhD Student , 2018-2022
Wouter Deelder ,PhD Student, 2017-2022
Paula Gomez Gonzalez, MRC LiD PhD Student , 2017-2022
Yaa Oppong, BBSRC LiDO PhD Student , 2016-2019
Monica Caroline Oliveira Campos , Research Fellow, 2016-2022
Benjamin Sobkowiak , Research Fellow, 2016-2019
Ana Rita Gomes , Research Fellow,2016
Matt Ravenhall, BBSRC Primary supervisor,2015-2018
Francesc Coll, Bloomsbury Research Fund PhD Student Garnham Prize/Research Fellow,2015-2019
Ernest Díez Benavente, Research Assistant/PhD Student, 2014-2020
Stéphane Hué, Lecturer,2014-2018
Grant Theron,Wellcome Trust Training Fellow In Public Health & Tropical Medicine ,2013
Mark Preston, Research Fellow, 2012-2015
Kim Mallard,Research Fellow, 2012-2014
Afonso Guerra,Research Fellow,2012-2014
Ifeyinwa Aniebo,PhD Student,2011-2016
Nuno Sepulveda,Research Fellow, 2010-2012
Harold Ocholla , PhD Student ,2010-2013





