"Author","doi","issn","journal","title","year","PMID"
"Anton Spadar,João Perdigão,Susana Campino,Taane G Clark","10.1186/s13073-023-01153-y","1756-994X","Genome Medicine","Large-scale genomic analysis of global Klebsiella pneumoniae plasmids reveals multiple simultaneous clusters of carbapenem-resistant hypervirulent strains","2023"
"Patrick Nguipdop-Djomo,William E Oswald,Katherine E Halliday,Sarah Cook,Joanna Sturgess,Neisha Sundaram,Charlotte Warren-Gash,Paul EM Fine,Judith Glynn,Elizabeth Allen,Taane G Clark,Benjamin Ford,Alison Judd,Georgina Ireland,John Poh,Chris Bonell,Fiona Dawe,Emma Rourke,Ian Diamond,Shamez N Ladhani,Sinéad M Langan,James Hargreaves,Punam Mangtani","10.1016/j.ijid.2022.12.030","12019712","International Journal of Infectious Diseases","Risk factors for SARS-CoV-2 infection in primary and secondary school students and staff in England in the 2020/2021 school year: a longitudinal study","2023"
"Gary Napier,Susana Campino,Jody E Phelan,Taane G Clark","10.1038/s41598-023-27516-4","2045-2322","Scientific Reports","Large-scale genomic analysis of Mycobacterium tuberculosis reveals extent of target and compensatory mutations linked to multi-drug resistant tuberculosis","2023"
"Amy Ibrahim,Emilia Manko,Jamille G Dombrowski,Mónica Campos,Ernest Diez Benavente,Debbie Nolder,Colin J Sutherland,Francois Nosten,Diana Fernandez,Gabriel Vélez-Tobón,Alberto Tobón Castaño,Anna Caroline C Aguiar,Dhelio Batista Pereira,Simone da Silva Santos,Martha Suarez-Mutis,Silvia Maria Di Santi,Andrea Regina de Souza Baptista,Ricardo Luiz Dantas Machado,Claudio RF Marinho,Taane G Clark,Susana Campino","10.1016/j.lana.2022.100420","2667193X","The Lancet Regional Health - Americas","Population-based genomic study of Plasmodium vivax malaria in seven Brazilian states and across South America","2023"
"Itzhak Zachi Attia,Andrew S Tseng,Ernest Diez Benavente,Jose R Medina-Inojosa,Taane G Clark,Sofia Malyutina,Suraj Kapa,Henrik Schirmer,Alexander V Kudryavtsev,Peter A Noseworthy,Rickey E Carter,Andrew Ryabikov,Pablo Perel,Paul A Friedman,David A Leon,Francisco Lopez-Jimenez","10.1016/j.ijcard.2020.12.065","01675273","International Journal of Cardiology","External validation of a deep learning electrocardiogram algorithm to detect ventricular dysfunction","2021"
"Celia Miguel-Blanco,James M Murithi,Ernest Diez Benavente,Fiona Angrisano,Katarzyna A Sala,Donelly A van Schalkwyk,Manu Vanaerschot,Frank Schwach,Matthew J Fuchter,Oliver Billker,Colin J Sutherland,Susana G Campino,Taane G Clark,Andrew M Blagborough,David A Fidock,Esperanza Herreros,Francisco Javier Gamo,Jake Baum,Michael J Delves","10.1038/s41598-021-81343-z","2045-2322","Scientific Reports","The antimalarial efficacy and mechanism of resistance of the novel chemotype DDD01034957","2021"
"Gasto Frumence,Leonard EG Mboera,Bugwesa Z Katale,Calvin Sindato,Sharadhuli Kimera,Anna Durrance-Bagale,Stephen E Mshana,Taane G Clark,Mark M Rweyemamu,Helena Legido-Quigley,Mecky Matee","10.1016/j.jgar.2021.02.027","22137165","Journal of Global Antimicrobial Resistance","Policy actors and human and animal health practitioners’ perceptions of antimicrobial use and resistance in Tanzania: A qualitative study","2021"
"Anton Spadar,João Perdigão,Jody Phelan,James Charleston,Ana Modesto,Rita Elias,Paola Florez de Sessions,Martin L Hibberd,Susana Campino,Aida Duarte,Taane G Clark","10.1038/s41598-021-85724-2","2045-2322","Scientific Reports","Methylation analysis of Klebsiella pneumoniae from Portuguese hospitals","2021"
"Silvania Da Veiga Leal,Daniel Ward,Susana Campino,Ernest Diez Benavente,Amy Ibrahim,Tânia Claret,Varela Isaías,Davidson Monteiro,Taane G Clark,Luzia Gonçalves,Tomas Valdez,Maria da Luz Lima Mendonça,Henrique Silveira,Fatima Nogueira","10.1186/s12936-021-03708-z","1475-2875","Malaria Journal","Drug resistance profile and clonality of Plasmodium falciparum parasites in Cape Verde: the 2017 malaria outbreak","2021"
"Gasto Frumence,Leonard E G Mboera,Calvin Sindato,Bugwesa Z Katale,Sharadhuli Kimera,Emmy Metta,Anna Durrance-Bagale,Anne-Sophie Jung,Stephen E Mshana,Taane G Clark,Mark Rweyemamu,Helena Legido-Quigley,Mecky I N Matee","10.3390/antibiotics10030273","2079-6382","Antibiotics","The Governance and Implementation of the National Action Plan on Antimicrobial Resistance in Tanzania: A Qualitative Study","2021"
"Nuno Sepúlveda,Lynn Grignard,Jonathan Curry,Laleta Mahey,Guido J H Bastiaens,Alfred B Tiono,Joseph Okebe,Sam A Coulibaly,Bronner P Gonçalves,Muna Affara,Alphonse Ouédraogo,Edith C Bougouma,Guillaume S Sanou,Issa Nébié,Kjerstin Lanke,Sodiomon B Sirima,Alassane Dicko,Umberto d’Alessandro,Taane G Clark,Susana Campino,Ingrid Chen,Alice C Eziefula,Roly Gosling,Teun Bousema,Chris Drakeley","10.3389/fgene.2021.645688","1664-8021","Frontiers in Genetics","G6PD Polymorphisms and Hemolysis After Antimalarial Treatment With Low Single-Dose Primaquine: A Pooled Analysis of Six African Clinical Trials","2021"
"Jamille Gregório Dombrowski,Holly Acford-Palmer,Monica Campos,Erika Paula Machado Separovic,Sabrina Epiphanio,Taane Gregory Clark,Susana Campino,Claudio Romero Farias Marinho","10.1016/j.lana.2022.100407","2667193X","The Lancet Regional Health - Americas","Genetic diversity of Plasmodium vivax isolates from pregnant women in the Western Brazilian Amazon: A prospective cohort study","2023"
"Denise M O’Sullivan,Ronan M Doyle,Sasithon Temisak,Nicholas Redshaw,Alexandra S Whale,Grace Logan,Jiabin Huang,Nicole Fischer,Gregory C A Amos,Mark D Preston,Julian R Marchesi,Josef Wagner,Julian Parkhill,Yair Motro,Hubert Denise,Robert D Finn,Kathryn A Harris,Gemma L Kay,Justin O’Grady,Emma Ransom-Jones,Huihai Wu,Emma Laing,David J Studholme,Ernest Diez Benavente,Jody Phelan,Taane G Clark,Jacob Moran-Gilad,Jim F Huggett","10.1038/s41598-021-89881-2","2045-2322","Scientific Reports","An inter-laboratory study to investigate the impact of the bioinformatics component on microbiome analysis using mock communities","2021"
"Ernest Diez Benavente,Emilia Manko,Jody Phelan,Monica Campos,Debbie Nolder,Diana Fernandez,Gabriel Velez-Tobon,Alberto Tobón Castaño,Jamille G Dombrowski,Claudio R F Marinho,Anna Caroline C Aguiar,Dhelio Batista Pereira,Kanlaya Sriprawat,Francois Nosten,Robert Moon,Colin J Sutherland,Susana Campino,Taane G Clark","10.1038/s41467-021-23422-3","2041-1723","Nature Communications","Distinctive genetic structure and selection patterns in Plasmodium vivax from South Asia and East Africa","2021"
"Wouter Deelder,Ernest Diez Benavente,Jody Phelan,Emilia Manko,Susana Campino,Luigi Palla,Taane G Clark","10.1186/s12936-021-03788-x","1475-2875","Malaria Journal","Using deep learning to identify recent positive selection in malaria parasite sequence data","2021"
"Gasto Frumence,Leonard E G Mboera,Calvin Sindato,Anna Durrance-Bagale,Anne-Sophie Jung,Stephen E Mshana,Taane G Clark,Helena Legido-Quigley,Mecky I Matee","10.3390/antibiotics10060733","2079-6382","Antibiotics","Practices and Challenges of Veterinary Paraprofessionals in Regards to Antimicrobial Use and Resistance in Animals in Dar Es Salaam, Tanzania","2021"
"André Silva-Pinto,João Domingos,Margarida Cardoso,Ana Reis,Ernest Diez Benavente,João Paulo Caldas,Cláudia Conceição,Cristina Toscano,Teresa Baptista-Fernandes,Taane G Clark,Kamal Mansinho,Susana Campino,Fatima Nogueira","10.1016/j.ijid.2021.07.008","12019712","International Journal of Infectious Diseases","Artemether-lumefantrine treatment failure of uncomplicated Plasmodium falciparum malaria in travellers coming from Angola and Mozambique","2021"
"Tanushree Tunstall,Jody Phelan,Charlotte Eccleston,Taane G Clark,Nicholas Furnham","10.3389/fmolb.2021.619403","2296-889X","Frontiers in Molecular Biosciences","Structural and Genomic Insights Into Pyrazinamide Resistance in Mycobacterium tuberculosis Underlie Differences Between Ancient and Modern Lineages","2021"
"Anna Durrance-Bagale,Anne-Sophie Jung,Gasto Frumence,Leonard Mboera,Stephen E Mshana,Calvin Sindato,Taane G Clark,Mecky Matee,Helena Legido-Quigley","10.3390/antibiotics10080991","2079-6382","Antibiotics","Framing the Drivers of Antimicrobial Resistance in Tanzania","2021"
"Ashley Osborne,Emilia Manko,Mika Takeda,Akira Kaneko,Wataru Kagaya,Chim Chan,Mtakai Ngara,James Kongere,Kiyoshi Kita,Susana Campino,Osamu Kaneko,Jesse Gitaka,Taane G Clark","10.1038/s41598-021-99192-1","2045-2322","Scientific Reports","Characterizing the genomic variation and population dynamics of Plasmodium falciparum malaria parasites in and around Lake Victoria, Kenya","2021"
"Jaciara de Lourdes do Carmo Guimarães Diniz,Andrea von Groll,Gisela Unis,Elis Regina Dalla-Costa,Maria Lúcia Rosa Rossetti,Júlia Silveira Vianna,Daniela Fernandes Ramos,Ana Júlia Reis,Priscila Cristina Bartolomeu Halicki,João Luis Rheingantz Scaini,Yasmin Castillos de Ibrahim das Neves,Jody Phelan,Ana Rita Gomes,Susana Campino,Karina dos Santos Machado,Adriano Velasque Werhli,Arnab Pain,Taane Gregory Clark,João Perdigão,Miguel Viveiros,Isabel Portugal,Pedro Eduardo Almeida Silva","10.1016/j.tube.2021.102137","14729792","Tuberculosis","Whole-genome sequencing as a tool for studying the microevolution of drug-resistant serial Mycobacterium tuberculosis isolates","2021"
"Mayreli Ortiz,Miriam Jauset-Rubio,Vasso Skouridou,Diana Machado,Miguel Viveiros,Taane G Clark,Anna Simonova,David Kodr,Michal Hocek,Ciara K O’Sullivan","10.1021/acssensors.1c01710","2379-3694","ACS Sensors","Electrochemical Detection of Single-Nucleotide Polymorphism Associated with Rifampicin Resistance in <i>Mycobacterium tuberculosis</i> Using Solid-Phase Primer Elongation with Ferrocene-Linked Redox-Labeled Nucleotides","2021"
"Rita Elias,José Melo-Cristino,Luís Lito,Margarida Pinto,Luísa Gonçalves,Susana Campino,Taane G Clark,Aida Duarte,João Perdigão","10.3390/diagnostics11122352","2075-4418","Diagnostics","Klebsiella pneumoniae and Colistin Susceptibility Testing: Performance Evaluation for Broth Microdilution, Agar Dilution and Minimum Inhibitory Concentration Test Strips and Impact of the “Skipped Well” Phenomenon","2021"
"Amanda J Gibson,Ian J Passmore,Valwynne Faulkner,Dong Xia,Irene Nobeli,Jennifer Stiens,Sam Willcocks,Taane G Clark,Ben Sobkowiak,Dirk Werling,Bernardo Villarreal-Ramos,Brendan W Wren,Sharon L Kendall","10.3389/fvets.2021.760717","2297-1769","Frontiers in Veterinary Science","Probing Differences in Gene Essentiality Between the Human and Animal Adapted Lineages of the Mycobacterium tuberculosis Complex Using TnSeq","2021"
"Wouter Deelder,Gary Napier,Susana Campino,Luigi Palla,Jody Phelan,Taane G Clark","10.1186/s12864-022-08291-4","1471-2164","BMC Genomics","A modified decision tree approach to improve the prediction and mutation discovery for drug resistance in Mycobacterium tuberculosis","2022"
"Shennae O'Boyle,Luis Nacul,Flavio E Nacul,Kathleen Mudie,Caroline C Kingdon,Jacqueline M Cliff,Taane G Clark,Hazel M Dockrell,Eliana M Lacerda","10.3389/fmed.2021.688159","2296-858X","Frontiers in Medicine","A Natural History of Disease Framework for Improving the Prevention, Management, and Research on Post-viral Fatigue Syndrome and Other Forms of Myalgic Encephalomyelitis/Chronic Fatigue Syndrome","2022"
"Francesc Coll,Theodore Gouliouris,Sebastian Bruchmann,Jody Phelan,Kathy E Raven,Taane G Clark,Julian Parkhill,Sharon J Peacock","10.1038/s42003-022-03194-2","2399-3642","Communications Biology","PowerBacGWAS: a computational pipeline to perform power calculations for bacterial genome-wide association studies","2022"
"Jody Phelan,Wouter Deelder,Daniel Ward,Susana Campino,Martin L Hibberd,Taane G Clark","10.1186/s12859-022-04632-y","1471-2105","BMC Bioinformatics","COVID-profiler: a webserver for the analysis of SARS-CoV-2 sequencing data","2022"
"Katherine E Halliday,Patrick Nguipdop-Djomo,William E Oswald,Joanna Sturgess,Elizabeth Allen,Neisha Sundaram,Georgina Ireland,John Poh,Samreen Ijaz,Justin Shute,Ian Diamond,Emma Rourke,Fiona Dawe,Alison Judd,Taane Clark,W John Edmunds,Chris Bonell,Punam Mangtani,Shamez N Ladhani,Sinéad M Langan,James Hargreaves","10.2196/34075","1929-0748","JMIR Research Protocols","The COVID-19 Schools Infection Survey in England: Protocol and Participation Profile for a Prospective Observational Cohort Study","2022"
